,Location,,,,,,,
0,"WAWA, 983 - 656 OLD BRIDGE TPKE - SOUTH RIVER - 08882",,,,,,,
1,Speedway - 3479 - 232 ROUTE 18 - EAST BRUNSWICK - 08816,,,,,,,
2,CVS - 10047 - 380 ROUTE 18 - EAST BRUNSWICK - 08816,,,,,,,
3,LUK MART - 344 RTE 18 NORTH - EAST BRUNSWICK - 08816,,,,,,,
4,Shop Rite - 585 - IC - 1422 W PROSPECT AVE  EAST BRUNSWICK - 08816,,,,,,,
5,WALGREENS - 19396 - 231 PROSPECT ST SOUTH RIVER - 08882,,,,,,,
6,44 Obert ST South River NJ 8882 Post Office,,,,,,,
7,CRESTWOOD LIQUOR B - 260 OLD BRIDGE TPKE - SOUTH RIVER - 08882,,,,,,,
8,KRAUSZERS - EAST BRUN - 191 OLD BRIDGE TPK - EAST BRUNSWICK - 08816,,,,,,,
9,STOP & SHOP - 2809 - 647 STATE ROUTE 18 S EAST BRUNSWICK - 08816,,,,,,,
10,7-11 - 35886 - NEXXUS - 772 ROUTE 18 NORTH EAST BRUNSWICK - 08816,,,,,,,
11,BARNES & NOBLE - 2924 - 753 RT 18 - SQUARE #318 - EAST BRUNSWICK - 08816,,,,,,,
12,7-11 - 10951 - NEXXUS - SUMMERHILL RD 286 EAST BRUNSWICK - 08816,,,,,,,
13,VILLAGE - DELI - 1591 MAIN STREET - EAST BRUNSWICK - 08816,,,,,,,
14,7-11 - 34699 - NEXXUS - 111 MAIN ST - EAST BRUNSWICK - 08816,,,,,,,
15,7-11 - 10950 - NEXXUS - 120 OLD STAGE RD EAST BRUNSWICK - 08816,,,,,,,
16,Shop Rite - 106 - IC - 65 OLDSTAGE RD SUMM SPOTSWOOD - 08884,,,,,,,
17,EASY - MART - 100 SUMMERHILL RD SU SPOTSWOOD - 08884,,,,,,,
18,WALGREENS - 19762 - 15 SUMMERHILL RD SPOTSWOOD - 08884,,,,,,,
19,MONROE CORNER DELI - 14 TAYLOR AV &MONMTH - SPOTSWOOD - 08884,,,,,,,
20,THE BROWN BAG MINI - 297 SPTSWDENGLSHTWN - SPOTSWOOD - 08884,,,,,,,
21,MILK N STUFF - 400 SPOTSWOOD ENGLIS SPOTSWOOD - 08884,,,,,,,
22,JERSEY - PRIDE FOOD - 16 SNOWHILL ST SPOTSWOOD - 08884,,,,,,,
23,HELMETTA FOODS INC - 2 OLD FORGE RD H ELMETTA - 08828 ,,,,,,,
24,SUNOCO - 7704 - NEXXU - 939 CRANBURY/SOUTH R - JAMESBURG - 08831,,,,,,,
25,WAWA- 986 - 885 CRANBURY SOUTH JAMESBURG - 08831,,,,,,,
26,CVS - 2815 - 330 RUES LANE -E BRUNSWICK- 08816,,,,,,,
27,614 Cranbury RD East Brunswick NJ 8816,,,,,,,
28,7-11 - 39688 - NEXXUS - 314 RUES LANE - EAST BRUNSWICK - 08816,,,,,,,
29,WAWA - 914 - 426 RYDERS LN - EAST BRUNSWICK - 08816,,,,,,,
30,SAFEWAY - 2916 ACME - 300 RYDER LANE MILLTOWN - 08850,,,,,,,
31,QUICK MART - PHARM - 100 RYDERS LANE MILLTOWN - 08850,,,,,,,
32,MILLTOWN CONVENIEN - 152 S MAIN ST MILLTOWN - 08850,,,,,,,
33,Speedway - 3447 - 19 MAIN ST - MILLTOWN -08850,,,,,,,
34,MIKES - COUNTRY MAR - 200 RIVA AVE MILLTOWN - 08850,,,,,,,
35,RS FOOD MART - DE - 219 RIVAAVE MILLTOWN - 08850,,,,,,,
36,KRAUSZERS - 465 - 1825 RTE 130 STH & W NORTH BRUNSWICK - 08902,,,,,,,
37,KRAUSZERS - 302 - 18861887 RT 130 - NORTH BRUNSWICK - 08902,,,,,,,
38,Shop Rite- 544-IC-400 RENAISSANCE BLVD- NORTH BRUNSWICK-08902,,,,,,,
39,WALGREENS - 10440 - 2703 ROUTE 130 NORTH BRUNSWICK - 08902,,,,,,,
40,ROUTE 130 DELI - 2740 RT 130 - NORTH BRUNSWICK - 08902,,,,,,,
41,PIERRE S DELI - 582 GEORGES RD MONMOUTH JUNCTION - 08852,,,,,,,
42,651 Ridge RD Monomouth Junction 8852,,,,,,,
43,WAWA- 476 - 350 GEORGES RD - DAYTON- 08810,,,,,,,
44,347 Georges RD Dayton NJ 8810,,,,,,,
45,QUICK CHECK - 127 - 2432 ROUTE 130 - DAYTON -08810,,,,,,,
46,SALS - ROMA DELI 11 - 1 ROSSMORE DR MONROE TOWNSHIP - 08831,,,,,,,
47,WELSH FARMS - JAMESB - 234 GATZMER AVENUE - JAMESBURG - 08831,,,,,,,
48,7-11 - 15560 - NEXXUS - 171 BUCKALEW AVE JAMESBURG - 08831,,,,,,,
49,JAMESBURG - DELI - 155 GATZMER AVE&FORS - JAMESBURG - 08831,,,,,,,
50,QUICK CHEK - #161 - 239 FORSGATE DR MONROE TOWNSHIP - 08831,,,,,,,
51,CVS - 5128 - 238 FORSGATE DR - JAMESBURG - 08831,,,,,,,
52,STOP & SHOP - 810 - 1600 PERRINEVILLE RD JAMESBURG - 08831,,,,,,,
53,1601 Perrineville RD Monzoe 08831,,,,,,,
54,WALGREENS - 17743 - 314 APPLEGARTH RD MONROE TOWNSHIP - 08831,,,,,,,
55,CVS - 7238 - 306 APPLEGRATH ROAD JAMESBURG - 08831,,,,,,,
56,WAWA- 365 - 337 APPLEGARTH RD JAMESBURG - 08831,,,,,,,
