,Location,Distance,Duration
0,"WAWA, 983 - 656 OLD BRIDGE TPKE - SOUTH RIVER - 08882",0 mi,0 mins
1,Speedway - 3479 - 232 ROUTE 18 - EAST BRUNSWICK - 08816,0.5 mi,3 mins
2,CVS - 10047 - 380 ROUTE 18 - EAST BRUNSWICK - 08816,2.0 mi,5 mins
3,"LUKOIL, 344 NJ-18, East Brunswick, NJ 08816",0.3 mi,2 mins
4,Shop Rite - 585 - IC - 1422 W PROSPECT AVE  EAST BRUNSWICK - 08816,0.4 mi,2 mins
5,WALGREENS - 19396 - 231 PROSPECT ST SOUTH RIVER - 08882,0.4 mi,2 mins
6,CRESTWOOD LIQUOR B - 260 OLD BRIDGE TPKE - SOUTH RIVER - 08882,1.1 mi,3 mins
7,KRAUSZERS - EAST BRUN - 191 OLD BRIDGE TPK - EAST BRUNSWICK - 08816,0.2 mi,1 min
8,STOP & SHOP - 2809 - 647 STATE ROUTE 18 S EAST BRUNSWICK - 08816,0.7 mi,3 mins
9,7-11 - 35886 - NEXXUS - 772 ROUTE 18 NORTH EAST BRUNSWICK - 08816,1.4 mi,4 mins
10,BARNES & NOBLE - 2924 - 753 RT 18 - SQUARE #318 - EAST BRUNSWICK - 08816,2.0 mi,3 mins
11,7-11 - 10951 - NEXXUS - SUMMERHILL RD 286 EAST BRUNSWICK - 08816,3.2 mi,6 mins
12,VILLAGE - DELI - 1591 MAIN STREET - EAST BRUNSWICK - 08816,1.6 mi,3 mins
13,7-11 - 34699 - NEXXUS - 111 MAIN ST - EAST BRUNSWICK - 08816,0.5 mi,2 mins
14,7-11 - 10950 - NEXXUS - 120 OLD STAGE RD EAST BRUNSWICK - 08816,0.9 mi,2 mins
15,Shop Rite - 106 - IC - 65 OLDSTAGE RD SUMM SPOTSWOOD - 08884,0.2 mi,2 mins
16,EASY - MART - 100 SUMMERHILL RD SU SPOTSWOOD - 08884,0.8 mi,3 mins
17,WALGREENS - 19762 - 15 SUMMERHILL RD SPOTSWOOD - 08884,0.3 mi,2 mins
18,MONROE CORNER DELI - 14 TAYLOR AV &MONMTH - SPOTSWOOD - 08884,1.2 mi,4 mins
19,THE BROWN BAG MINI - 297 SPTSWDENGLSHTWN - SPOTSWOOD - 08884,1.4 mi,4 mins
20,MILK N STUFF - 400 SPOTSWOOD ENGLIS SPOTSWOOD - 08884,2.7 mi,7 mins
21,JERSEY - PRIDE FOOD - 16 SNOWHILL ST SPOTSWOOD - 08884,1.7 mi,4 mins
22,HELMETTA FOODS INC - 2 OLD FORGE RD H ELMETTA - 08828 ,1.6 mi,3 mins
23,SUNOCO - 7704 - NEXXU - 939 CRANBURY/SOUTH R - JAMESBURG - 08831,2.3 mi,5 mins
24,WAWA- 986 - 885 CRANBURY SOUTH JAMESBURG - 08831,0.1 mi,1 min
25,614 Cranbury RD East Brunswick NJ 8816,2.0 mi,4 mins
26,CVS - 2815 - 330 RUES LANE -E BRUNSWICK- 08816,1.0 mi,3 mins
27,7-11 - 39688 - NEXXUS - 314 RUES LANE - EAST BRUNSWICK - 08816,0.1 mi,1 min
28,WAWA - 914 - 426 RYDERS LN - EAST BRUNSWICK - 08816,1.8 mi,5 mins
29,2916 ACME - 300 RYDER LANE MILLTOWN - 08850,3.6 mi,7 mins
30,QUICK MART - PHARM - 100 RYDERS LANE MILLTOWN - 08850,1.1 mi,3 mins
31,MILLTOWN CONVENIEN - 152 S MAIN ST MILLTOWN - 08850,1.1 mi,3 mins
32,Speedway - 3447 - 19 MAIN ST - MILLTOWN -08850,0.3 mi,1 min
33,MIKES - COUNTRY MAR - 200 RIVA AVE MILLTOWN - 08850,0.8 mi,2 mins
34,RS FOOD MART - DE - 219 RIVAAVE MILLTOWN - 08850,0.1 mi,1 min
35,KRAUSZERS 1825 RTE 130 STH & W NORTH BRUNSWICK - 08902,2.2 mi,5 mins
36,KRAUSZERS Food Store 1886  RT 130 - NORTH BRUNSWICK - 08902,0.4 mi,2 mins
